Date,Visitor,G_VIS,Home,G_HOME,,Att.,LOG,Notes
2023-12-07,Tampa Bay Lightning,1,Nashville Predators,5,,17159,2:28,
2023-12-07,Columbus Blue Jackets,3,New York Islanders,7,,13510,2:29,
2023-12-07,Toronto Maple Leafs,4,Ottawa Senators,3,,19309,2:22,
2023-12-07,New Jersey Devils,2,Seattle Kraken,1,,17151,2:23,
2023-12-07,Minnesota Wild,0,Vancouver Canucks,2,,18667,2:41,
2023-12-07,Dallas Stars,5,Washington Capitals,4,SO,15850,2:38,
2023-12-08,St. Louis Blues,2,Columbus Blue Jackets,5,,15713,2:31,
2023-12-08,Minnesota Wild,3,Edmonton Oilers,4,,18173,2:26,
2023-12-08,Pittsburgh Penguins,1,Florida Panthers,3,,18640,2:18,
2023-12-09,Arizona Coyotes,3,Boston Bruins,5,,17850,2:33,
2023-12-09,Montreal Canadiens,3,Buffalo Sabres,2,SO,17123,2:43,
2023-12-09,New Jersey Devils,4,Calgary Flames,2,,17597,2:25,
2023-12-09,St. Louis Blues,1,Chicago Blackhawks,3,,18892,2:24,
2023-12-09,Philadelphia Flyers,5,Colorado Avalanche,2,,18119,2:27,
2023-12-09,Vegas Golden Knights,6,Dallas Stars,1,,18532,2:17,
2023-12-09,Ottawa Senators,5,Detroit Red Wings,1,,19515,2:45,
2023-12-09,Los Angeles Kings,2,New York Islanders,3,OT,17255,2:36,
2023-12-09,Tampa Bay Lightning,4,Seattle Kraken,3,OT,17151,2:32,
2023-12-09,Nashville Predators,0,Toronto Maple Leafs,4,,18611,2:23,
2023-12-09,Carolina Hurricanes,3,Vancouver Canucks,4,,18586,2:31,
2023-12-09,New York Rangers,0,Washington Capitals,4,,18573,2:29,
2023-12-10,Winnipeg Jets,4,Anaheim Ducks,2,,13626,2:28,
2023-12-10,Florida Panthers,5,Columbus Blue Jackets,2,,16269,2:29,
2023-12-10,Washington Capitals,4,Chicago Blackhawks,2,,18258,2:25,
2023-12-10,New Jersey Devils,1,Edmonton Oilers,4,,18347,2:31,
2023-12-10,Nashville Predators,2,Montreal Canadiens,1,,20864,2:32,
2023-12-10,Los Angeles Kings,1,New York Rangers,4,,18006,2:32,
2023-12-10,Minnesota Wild,3,Seattle Kraken,0,,17151,2:29,
2023-12-10,San Jose Sharks,4,Vegas Golden Knights,5,SO,17849,2:40,
2023-12-11,Arizona Coyotes,2,Buffalo Sabres,5,,14083,2:24,
2023-12-11,Calgary Flames,5,Colorado Avalanche,6,,17967,2:37,
2023-12-11,Detroit Red Wings,3,Dallas Stars,6,,18532,2:28,
2023-12-11,Toronto Maple Leafs,3,New York Islanders,4,OT,17255,2:28,
2023-12-12,Chicago Blackhawks,1,Edmonton Oilers,4,,18347,2:23,
2023-12-12,Philadelphia Flyers,2,Nashville Predators,3,OT,17159,2:27,
2023-12-12,Toronto Maple Leafs,7,New York Rangers,3,,18006,2:26,
2023-12-12,Carolina Hurricanes,4,Ottawa Senators,1,,16877,2:27,
2023-12-12,Arizona Coyotes,2,Pittsburgh Penguins,4,,17068,2:29,
2023-12-12,Florida Panthers,0,Seattle Kraken,4,,17151,2:28,
2023-12-12,Winnipeg Jets,1,San Jose Sharks,2,,13142,2:27,
2023-12-12,Detroit Red Wings,6,St. Louis Blues,4,,18096,2:36,
2023-12-12,Tampa Bay Lightning,1,Vancouver Canucks,4,,18771,2:22,
2023-12-12,Calgary Flames,4,Vegas Golden Knights,5,OT,17814,2:30,
2023-12-13,Buffalo Sabres,1,Colorado Avalanche,5,,18034,2:32,
2023-12-13,Winnipeg Jets,5,Los Angeles Kings,2,,18145,2:23,
2023-12-13,Pittsburgh Penguins,4,Montreal Canadiens,3,SO,21105,2:50,
2023-12-13,Boston Bruins,1,New Jersey Devils,2,OT,16514,2:33,
2023-12-13,Anaheim Ducks,3,New York Islanders,4,,14207,2:34,
2023-12-14,Carolina Hurricanes,2,Detroit Red Wings,1,,19515,2:24,
2023-12-14,Tampa Bay Lightning,7,Edmonton Oilers,4,,18060,2:35,
2023-12-14,Calgary Flames,2,Minnesota Wild,3,SO,18167,2:44,
2023-12-14,Washington Capitals,3,Philadelphia Flyers,4,SO,18557,2:43,
2023-12-14,Chicago Blackhawks,1,Seattle Kraken,7,,17151,2:19,
2023-12-14,Ottawa Senators,2,St. Louis Blues,4,,18096,2:24,
2023-12-14,Columbus Blue Jackets,6,Toronto Maple Leafs,5,OT,18338,2:39,
2023-12-14,Florida Panthers,0,Vancouver Canucks,4,,18873,2:19,
2023-12-15,San Jose Sharks,0,Arizona Coyotes,1,,4600,2:33,
2023-12-15,Nashville Predators,6,Carolina Hurricanes,5,OT,18770,2:32,
2023-12-15,Ottawa Senators,4,Dallas Stars,5,,18532,2:32,
2023-12-15,Boston Bruins,5,New York Islanders,4,SO,17255,2:54,
2023-12-15,Anaheim Ducks,1,New York Rangers,5,,18006,2:34,
2023-12-15,Buffalo Sabres,5,Vegas Golden Knights,2,,18008,2:27,
2023-12-16,Buffalo Sabres,0,Arizona Coyotes,2,,4600,2:11,
2023-12-16,New York Rangers,2,Boston Bruins,1,OT,17850,2:35,
2023-12-16,New Jersey Devils,6,Columbus Blue Jackets,3,,18172,2:24,
2023-12-16,Tampa Bay Lightning,2,Calgary Flames,4,,16801,2:27,
2023-12-16,Florida Panthers,5,Edmonton Oilers,1,,18347,2:34,
2023-12-16,Vancouver Canucks,1,Minnesota Wild,2,SO,18519,2:39,
2023-12-16,New York Islanders,3,Montreal Canadiens,5,,21105,2:23,
2023-12-16,Washington Capitals,1,Nashville Predators,3,,17267,2:20,
2023-12-16,Detroit Red Wings,0,Philadelphia Flyers,1,,18341,2:31,
2023-12-16,Los Angeles Kings,3,Seattle Kraken,2,SO,17151,2:42,
2023-12-16,Dallas Stars,3,St. Louis Blues,4,OT,18096,2:32,
2023-12-16,Pittsburgh Penguins,0,Toronto Maple Leafs,7,,18921,2:30,
2023-12-16,Colorado Avalanche,2,Winnipeg Jets,6,,13515,2:20,
2023-12-17,Washington Capitals,2,Carolina Hurricanes,1,SO,18700,2:44,
2023-12-17,Vancouver Canucks,4,Chicago Blackhawks,3,,19302,2:19,
2023-12-17,San Jose Sharks,2,Colorado Avalanche,6,,18093,2:29,
2023-12-17,Anaheim Ducks,5,New Jersey Devils,1,,16514,2:25,
2023-12-17,Ottawa Senators,3,Vegas Golden Knights,6,,17892,2:30,
2023-12-18,Florida Panthers,1,Calgary Flames,3,,16813,2:27,
2023-12-18,Seattle Kraken,3,Dallas Stars,4,OT,18532,2:32,
2023-12-18,Anaheim Ducks,4,Detroit Red Wings,3,,19515,2:33,
2023-12-18,Minnesota Wild,3,Pittsburgh Penguins,4,,18200,2:32,
2023-12-18,Montreal Canadiens,3,Winnipeg Jets,2,OT,13363,2:29,
2023-12-19,Ottawa Senators,3,Arizona Coyotes,4,,4600,2:30,
2023-12-19,Minnesota Wild,4,Boston Bruins,3,OT,17850,2:36,
2023-12-19,Columbus Blue Jackets,9,Buffalo Sabres,4,,14888,2:25,
2023-12-19,Vegas Golden Knights,3,Carolina Hurricanes,6,,18848,2:32,
2023-12-19,Colorado Avalanche,2,Chicago Blackhawks,3,,19719,2:24,
2023-12-19,Philadelphia Flyers,3,New Jersey Devils,2,OT,16514,2:26,
2023-12-19,Vancouver Canucks,5,Nashville Predators,2,,17159,2:22,
2023-12-19,Edmonton Oilers,1,New York Islanders,3,,16523,2:17,
2023-12-19,Los Angeles Kings,4,San Jose Sharks,1,,11593,2:23,
2023-12-19,St. Louis Blues,1,Tampa Bay Lightning,6,,19092,2:22,
2023-12-19,New York Rangers,5,Toronto Maple Leafs,2,,19264,2:22,
2023-12-20,Seattle Kraken,2,Los Angeles Kings,1,,18145,2:28,
2023-12-20,Detroit Red Wings,2,Winnipeg Jets,5,,12571,2:26,
2023-12-20,New York Islanders,2,Washington Capitals,3,OT,18573,2:24,
2023-12-21,Calgary Flames,3,Anaheim Ducks,0,,16102,2:25,
2023-12-21,Toronto Maple Leafs,3,Buffalo Sabres,9,,19070,2:22,
2023-12-21,Washington Capitals,3,Columbus Blue Jackets,2,OT,18172,2:32,
2023-12-21,Ottawa Senators,4,Colorado Avalanche,6,,18107,2:39,
2023-12-21,Vancouver Canucks,3,Dallas Stars,4,OT,18532,2:32,
2023-12-21,St. Louis Blues,4,Florida Panthers,1,,18753,2:29,
2023-12-21,Montreal Canadiens,3,Minnesota Wild,4,OT,18387,2:38,
2023-12-21,Edmonton Oilers,6,New Jersey Devils,3,,16514,2:26,
2023-12-21,Nashville Predators,4,Philadelphia Flyers,2,,19313,2:33,
2023-12-21,Carolina Hurricanes,1,Pittsburgh Penguins,2,SO,18267,2:37,
2023-12-21,Arizona Coyotes,5,San Jose Sharks,2,,17435,2:26,
2023-12-21,Vegas Golden Knights,4,Tampa Bay Lightning,5,,19092,2:35,
2023-12-22,Montreal Canadiens,5,Chicago Blackhawks,2,,20340,2:25,
2023-12-22,Philadelphia Flyers,6,Detroit Red Wings,7,SO,19515,2:50,
2023-12-22,Edmonton Oilers,4,New York Rangers,3,,18006,2:29,
2023-12-22,Boston Bruins,1,Winnipeg Jets,5,,14405,2:34,
2023-12-23,Seattle Kraken,3,Anaheim Ducks,2,,14608,2:28,
2023-12-23,New York Islanders,5,Carolina Hurricanes,4,,18921,2:31,
2023-12-23,Toronto Maple Leafs,4,Columbus Blue Jackets,1,,17806,2:24,
2023-12-23,Arizona Coyotes,1,Colorado Avalanche,4,,18117,2:21,
2023-12-23,Vegas Golden Knights,2,Florida Panthers,4,,19364,2:37,
2023-12-23,Calgary Flames,3,Los Angeles Kings,5,,18145,2:35,
2023-12-23,Boston Bruins,2,Minnesota Wild,3,,19183,2:33,
2023-12-23,Detroit Red Wings,2,New Jersey Devils,3,,16514,2:31,
2023-12-23,Dallas Stars,3,Nashville Predators,2,,17159,2:28,
2023-12-23,Buffalo Sabres,3,New York Rangers,4,OT,18006,2:36,
2023-12-23,Pittsburgh Penguins,4,Ottawa Senators,5,OT,19286,2:34,
2023-12-23,Chicago Blackhawks,5,St. Louis Blues,7,,18096,2:27,
2023-12-23,San Jose Sharks,4,Vancouver Canucks,7,,18875,2:32,
2023-12-23,Tampa Bay Lightning,2,Washington Capitals,1,SO,18573,2:37,
2023-12-27,Vegas Golden Knights,2,Anaheim Ducks,5,,15109,2:19,
2023-12-27,Colorado Avalanche,4,Arizona Coyotes,5,OT,4600,2:30,
2023-12-27,Boston Bruins,4,Buffalo Sabres,1,,19070,2:31,
2023-12-27,Seattle Kraken,2,Calgary Flames,1,,18881,2:23,
2023-12-27,Winnipeg Jets,1,Chicago Blackhawks,2,OT,20540,2:27,
2023-12-27,San Jose Sharks,1,Los Angeles Kings,5,,18145,2:25,
2023-12-27,Detroit Red Wings,3,Minnesota Wild,6,,19105,2:23,
2023-12-27,Columbus Blue Jackets,3,New Jersey Devils,4,OT,16514,2:30,
2023-12-27,Carolina Hurricanes,5,Nashville Predators,2,,17846,2:32,
2023-12-27,Pittsburgh Penguins,7,New York Islanders,0,,17255,2:30,
2023-12-27,Washington Capitals,1,New York Rangers,5,,18006,2:19,
2023-12-27,Dallas Stars,1,St. Louis Blues,2,,18096,2:24,
2023-12-27,Florida Panthers,3,Tampa Bay Lightning,2,,19092,2:28,
2023-12-27,Ottawa Senators,4,Toronto Maple Leafs,2,,19261,2:30,
2023-12-28,Montreal Canadiens,3,Carolina Hurricanes,5,,18969,2:38,
2023-12-28,Edmonton Oilers,5,San Jose Sharks,0,,17435,2:20,
2023-12-28,Philadelphia Flyers,4,Vancouver Canucks,1,,18986,2:27,
2023-12-28,Los Angeles Kings,2,Vegas Golden Knights,3,,18595,2:28,
2023-12-29,Arizona Coyotes,2,Anaheim Ducks,0,,16052,2:35,
2023-12-29,Toronto Maple Leafs,5,Columbus Blue Jackets,6,OT,18516,2:37,
2023-12-29,Chicago Blackhawks,4,Dallas Stars,5,OT,18532,2:33,
2023-12-29,Nashville Predators,4,Detroit Red Wings,5,OT,19515,2:36,
2023-12-29,New York Rangers,3,Florida Panthers,4,,19723,2:34,
2023-12-29,Washington Capitals,1,New York Islanders,5,,17255,2:23,
2023-12-29,New Jersey Devils,6,Ottawa Senators,2,,20022,2:22,
2023-12-29,Philadelphia Flyers,1,Seattle Kraken,2,OT,17151,2:26,
2023-12-29,Colorado Avalanche,2,St. Louis Blues,1,,18096,2:23,
2023-12-30,New Jersey Devils,2,Boston Bruins,5,,17850,2:27,
2023-12-30,Columbus Blue Jackets,2,Buffalo Sabres,3,OT,19070,2:21,
2023-12-30,Montreal Canadiens,1,Florida Panthers,4,,19663,2:24,
2023-12-30,Edmonton Oilers,3,Los Angeles Kings,2,SO,18145,2:39,
2023-12-30,St. Louis Blues,2,Pittsburgh Penguins,4,,18321,2:27,
2023-12-30,New York Rangers,5,Tampa Bay Lightning,1,,19092,2:35,
2023-12-30,Carolina Hurricanes,3,Toronto Maple Leafs,2,,18974,2:31,
2023-12-30,Minnesota Wild,2,Winnipeg Jets,4,,15225,2:25,
2023-12-30,Nashville Predators,3,Washington Capitals,2,SO,18573,2:45,
2023-12-31,Edmonton Oilers,7,Anaheim Ducks,2,,16041,2:25,
2023-12-31,Philadelphia Flyers,3,Calgary Flames,4,,18723,2:28,
2023-12-31,San Jose Sharks,1,Colorado Avalanche,3,,18140,2:38,
2023-12-31,Chicago Blackhawks,1,Dallas Stars,8,,18532,2:25,
2023-12-31,Boston Bruins,5,Detroit Red Wings,3,,19515,2:37,
2023-12-31,Winnipeg Jets,3,Minnesota Wild,2,,19129,2:28,
2023-12-31,Buffalo Sabres,1,Ottawa Senators,5,,19421,2:31,
2023-12-31,New York Islanders,1,Pittsburgh Penguins,3,,18216,2:37,
2023-12-31,Montreal Canadiens,3,Tampa Bay Lightning,4,,19092,2:33,
2024-01-01,Vegas Golden Knights,0,Seattle Kraken,3,,47313,2:35,at T-Mobile Park (Seattle WA)
2024-01-02,Florida Panthers,4,Arizona Coyotes,1,,4600,2:35,
2024-01-02,Boston Bruins,4,Columbus Blue Jackets,1,,18262,2:27,
2024-01-02,New York Islanders,4,Colorado Avalanche,5,OT,18121,2:31,
2024-01-02,Montreal Canadiens,4,Dallas Stars,3,,18532,2:24,
2024-01-02,Philadelphia Flyers,2,Edmonton Oilers,5,,18347,2:19,
2024-01-02,Toronto Maple Leafs,3,Los Angeles Kings,0,,18145,2:33,
2024-01-02,Calgary Flames,3,Minnesota Wild,1,,18456,2:21,
2024-01-02,Chicago Blackhawks,0,Nashville Predators,3,,17363,2:23,
2024-01-02,Carolina Hurricanes,6,New York Rangers,1,,18006,2:28,
2024-01-02,Washington Capitals,4,Pittsburgh Penguins,3,,18190,2:33,
2024-01-02,Detroit Red Wings,5,San Jose Sharks,3,,12195,2:34,
2024-01-02,Ottawa Senators,3,Vancouver Canucks,6,,18810,2:22,
2024-01-02,Tampa Bay Lightning,2,Winnipeg Jets,4,,14157,2:20,
2024-01-03,Toronto Maple Leafs,2,Anaheim Ducks,1,OT,16135,2:42,
2024-01-03,New Jersey Devils,6,Washington Capitals,3,,17156,2:34,
2024-01-04,New York Islanders,5,Arizona Coyotes,1,,4600,2:21,
2024-01-04,Pittsburgh Penguins,6,Boston Bruins,5,,17850,2:35,
2024-01-04,Colorado Avalanche,5,Dallas Stars,4,OT,18532,2:38,
2024-01-04,Detroit Red Wings,4,Los Angeles Kings,3,SO,18145,2:34,
2024-01-04,Tampa Bay Lightning,4,Minnesota Wild,1,,18689,2:25,
2024-01-04,Buffalo Sabres,6,Montreal Canadiens,1,,21105,2:35,
2024-01-04,Calgary Flames,6,Nashville Predators,3,,17203,2:37,
2024-01-04,Chicago Blackhawks,1,New York Rangers,4,,18006,2:22,
2024-01-04,Columbus Blue Jackets,3,Philadelphia Flyers,2,SO,17510,2:39,
2024-01-04,Ottawa Senators,1,Seattle Kraken,4,,17151,2:20,
2024-01-04,Winnipeg Jets,2,San Jose Sharks,1,,10521,2:16,
2024-01-04,Vancouver Canucks,1,St. Louis Blues,2,,18096,2:23,
2024-01-04,Florida Panthers,4,Vegas Golden Knights,1,,18044,2:38,
2024-01-05,Winnipeg Jets,3,Anaheim Ducks,1,,13883,2:24,
2024-01-05,Chicago Blackhawks,2,New Jersey Devils,4,,16514,2:32,
2024-01-05,Carolina Hurricanes,6,Washington Capitals,2,,18573,2:32,
2024-01-06,Tampa Bay Lightning,3,Boston Bruins,7,,17850,2:28,
2024-01-06,St. Louis Blues,2,Carolina Hurricanes,1,SO,18903,2:36,
2024-01-06,Minnesota Wild,4,Columbus Blue Jackets,3,OT,18771,2:41,
2024-01-06,Florida Panthers,8,Colorado Avalanche,4,,18132,2:32,
2024-01-06,Nashville Predators,4,Dallas Stars,3,,18532,2:30,
2024-01-06,Ottawa Senators,1,Edmonton Oilers,3,,18347,2:27,
2024-01-06,New York Rangers,3,Montreal Canadiens,4,SO,21105,2:34,
2024-01-06,Vancouver Canucks,6,New Jersey Devils,4,,16157,2:36,
2024-01-06,Calgary Flames,2,Philadelphia Flyers,3,,19715,2:37,
2024-01-06,Buffalo Sabres,3,Pittsburgh Penguins,1,,18256,2:30,
2024-01-06,Toronto Maple Leafs,4,San Jose Sharks,1,,17435,2:24,
2024-01-06,New York Islanders,2,Vegas Golden Knights,5,,18312,2:33,
2024-01-07,Detroit Red Wings,3,Anaheim Ducks,2,,17174,2:29,
2024-01-07,Winnipeg Jets,6,Arizona Coyotes,2,,4600,2:29,
2024-01-07,Calgary Flames,3,Chicago Blackhawks,4,,19907,2:33,
2024-01-07,Los Angeles Kings,3,Washington Capitals,4,,18573,2:26,
2024-01-08,Boston Bruins,3,Colorado Avalanche,4,SO,18050,2:56,
2024-01-08,Dallas Stars,4,Minnesota Wild,0,,18087,2:33,
2024-01-08,Vancouver Canucks,6,New York Rangers,3,,18006,2:28,
2024-01-08,Pittsburgh Penguins,4,Philadelphia Flyers,1,,18279,2:36,
2024-01-09,Boston Bruins,3,Arizona Coyotes,4,OT,4600,2:48,
2024-01-09,Seattle Kraken,5,Buffalo Sabres,2,,14628,2:19,
2024-01-09,Ottawa Senators,3,Calgary Flames,6,,17219,2:30,
2024-01-09,Edmonton Oilers,2,Chicago Blackhawks,1,,19756,2:30,
2024-01-09,Anaheim Ducks,5,Nashville Predators,3,,17159,2:33,
2024-01-09,Vancouver Canucks,5,New York Islanders,2,,15690,2:20,
2024-01-09,Florida Panthers,5,St. Louis Blues,1,,18096,2:25,
2024-01-09,Los Angeles Kings,2,Tampa Bay Lightning,3,OT,19092,2:30,
2024-01-09,San Jose Sharks,1,Toronto Maple Leafs,7,,18364,2:28,
2024-01-09,Columbus Blue Jackets,0,Winnipeg Jets,5,,12512,2:23,
2024-01-10,Vegas Golden Knights,0,Colorado Avalanche,3,,18039,2:24,
2024-01-10,Minnesota Wild,2,Dallas Stars,7,,18532,2:31,
2024-01-10,Montreal Canadiens,2,Philadelphia Flyers,3,SO,18238,2:38,
2024-01-11,Calgary Flames,6,Arizona Coyotes,2,,4600,2:23,
2024-01-11,Ottawa Senators,3,Buffalo Sabres,5,,16083,2:25,
2024-01-11,Anaheim Ducks,3,Carolina Hurricanes,6,,18748,2:34,
2024-01-11,Edmonton Oilers,3,Detroit Red Wings,2,OT,19515,2:32,
2024-01-11,Los Angeles Kings,2,Florida Panthers,3,OT,18616,2:43,
2024-01-11,San Jose Sharks,3,Montreal Canadiens,2,,21105,2:30,
2024-01-11,Toronto Maple Leafs,3,New York Islanders,4,OT,17255,2:25,
2024-01-11,Vancouver Canucks,4,Pittsburgh Penguins,3,OT,18190,2:32,
2024-01-11,New York Rangers,2,St. Louis Blues,5,,18096,2:20,
2024-01-11,New Jersey Devils,3,Tampa Bay Lightning,4,OT,19092,2:34,
2024-01-11,Boston Bruins,1,Vegas Golden Knights,2,OT,18209,2:30,
2024-01-11,Chicago Blackhawks,1,Winnipeg Jets,2,,15225,2:16,
2024-01-11,Seattle Kraken,4,Washington Capitals,1,,17935,2:22,
2024-01-12,Nashville Predators,6,Dallas Stars,3,,18532,2:29,
2024-01-12,Philadelphia Flyers,4,Minnesota Wild,3,OT,18473,2:35,
2024-01-13,Vancouver Canucks,1,Buffalo Sabres,0,,17662,2:35,
2024-01-13,Pittsburgh Penguins,2,Carolina Hurricanes,3,OT,18932,2:34,
2024-01-13,Seattle Kraken,7,Columbus Blue Jackets,4,,18588,2:28,
2024-01-13,Dallas Stars,3,Chicago Blackhawks,1,,18889,2:27,
2024-01-13,Los Angeles Kings,3,Detroit Red Wings,5,,19515,2:35,
2024-01-13,New Jersey Devils,4,Florida Panthers,1,,19526,2:23,
2024-01-13,Arizona Coyotes,6,Minnesota Wild,0,,18812,2:32,
2024-01-13,Edmonton Oilers,2,Montreal Canadiens,1,OT,21105,2:37,
2024-01-13,New York Islanders,1,Nashville Predators,3,,17474,2:23,
2024-01-13,San Jose Sharks,4,Ottawa Senators,5,,18764,2:23,
2024-01-13,Boston Bruins,4,St. Louis Blues,3,OT,18096,2:31,
2024-01-13,Anaheim Ducks,1,Tampa Bay Lightning,5,,19092,2:28,
2024-01-13,Colorado Avalanche,5,Toronto Maple Leafs,3,,19298,2:22,
2024-01-13,Calgary Flames,3,Vegas Golden Knights,1,,17858,2:27,
2024-01-13,Philadelphia Flyers,2,Winnipeg Jets,0,,14540,2:25,
2024-01-13,New York Rangers,2,Washington Capitals,3,,18573,2:35,
2024-01-14,Washington Capitals,1,New York Rangers,2,,18006,2:29,
2024-01-14,Detroit Red Wings,4,Toronto Maple Leafs,2,,18772,2:24,
2024-01-15,New Jersey Devils,0,Boston Bruins,3,,17850,2:33,
2024-01-15,San Jose Sharks,0,Buffalo Sabres,3,,16186,2:25,
2024-01-15,Los Angeles Kings,5,Carolina Hurricanes,2,,18825,2:28,
2024-01-15,Vancouver Canucks,3,Columbus Blue Jackets,4,SO,17622,2:31,
2024-01-15,Anaheim Ducks,5,Florida Panthers,4,OT,17885,2:34,
2024-01-15,New York Islanders,0,Minnesota Wild,5,,18231,2:31,
2024-01-15,Colorado Avalanche,3,Montreal Canadiens,4,,21205,2:36,
2024-01-15,Seattle Kraken,0,Pittsburgh Penguins,3,,18202,2:23,
2024-01-15,Philadelphia Flyers,4,St. Louis Blues,2,,18096,2:20,
2024-01-15,Nashville Predators,1,Vegas Golden Knights,4,,17719,2:27,
2024-01-16,Arizona Coyotes,2,Calgary Flames,3,OT,17407,2:31,
2024-01-16,San Jose Sharks,1,Chicago Blackhawks,2,SO,16401,2:44,
2024-01-16,Los Angeles Kings,1,Dallas Stars,5,,18532,2:23,
2024-01-16,Toronto Maple Leafs,2,Edmonton Oilers,4,,18347,2:25,
2024-01-16,Seattle Kraken,2,New York Rangers,5,,18006,2:19,
2024-01-16,Colorado Avalanche,7,Ottawa Senators,4,,16242,2:38,
2024-01-16,New York Islanders,2,Winnipeg Jets,4,,12600,2:31,
2024-01-16,Anaheim Ducks,0,Washington Capitals,2,,15961,2:21,
2024-01-17,Detroit Red Wings,3,Florida Panthers,2,OT,17958,2:31,
2024-01-17,Montreal Canadiens,3,New Jersey Devils,2,,16022,2:19,
2024-01-18,Colorado Avalanche,2,Boston Bruins,5,,17850,2:34,
2024-01-18,Chicago Blackhawks,0,Buffalo Sabres,3,,15465,2:13,
2024-01-18,Toronto Maple Leafs,4,Calgary Flames,3,,18714,2:38,
2024-01-18,Seattle Kraken,2,Edmonton Oilers,4,,18347,2:33,
2024-01-18,Nashville Predators,2,Los Angeles Kings,1,,18145,2:29,
2024-01-18,Montreal Canadiens,2,Ottawa Senators,6,,19286,2:32,
2024-01-18,Dallas Stars,1,Philadelphia Flyers,5,,18024,2:27,
2024-01-18,Minnesota Wild,3,Tampa Bay Lightning,7,,19092,2:29,
2024-01-18,Arizona Coyotes,1,Vancouver Canucks,2,,19005,2:30,
2024-01-18,New York Rangers,1,Vegas Golden Knights,5,,18149,2:25,
2024-01-18,St. Louis Blues,2,Washington Capitals,5,,17909,2:27,
2024-01-19,Detroit Red Wings,2,Carolina Hurricanes,4,,18841,2:27,
2024-01-19,New Jersey Devils,4,Columbus Blue Jackets,1,,18630,2:25,
2024-01-19,New York Islanders,3,Chicago Blackhawks,4,OT,18463,2:30,
2024-01-19,Minnesota Wild,6,Florida Panthers,4,,19595,2:39,
2024-01-20,Nashville Predators,2,Arizona Coyotes,3,,4600,2:31,
2024-01-20,Montreal Canadiens,4,Boston Bruins,9,,17850,2:32,
2024-01-20,Tampa Bay Lightning,3,Buffalo Sabres,1,,18246,2:16,
2024-01-20,Edmonton Oilers,3,Calgary Flames,1,,19289,2:25,
2024-01-20,New York Rangers,1,Los Angeles Kings,2,,18292,2:28,
2024-01-20,Dallas Stars,6,New Jersey Devils,2,,16514,2:33,
2024-01-20,Winnipeg Jets,2,Ottawa Senators,1,OT,19388,2:28,
2024-01-20,Colorado Avalanche,7,Philadelphia Flyers,4,,19078,2:30,
2024-01-20,Anaheim Ducks,3,San Jose Sharks,5,,17435,2:30,
2024-01-20,Washington Capitals,0,St. Louis Blues,3,,18096,2:25,
2024-01-20,Toronto Maple Leafs,4,Vancouver Canucks,6,,18865,2:33,
2024-01-20,Pittsburgh Penguins,2,Vegas Golden Knights,3,,18319,2:29,
2024-01-21,New York Rangers,5,Anaheim Ducks,2,,16197,2:32,
2024-01-21,Minnesota Wild,5,Carolina Hurricanes,2,,18749,2:29,
2024-01-21,Tampa Bay Lightning,1,Detroit Red Wings,2,,19515,2:29,
2024-01-21,Dallas Stars,2,New York Islanders,3,OT,17255,2:28,
2024-01-21,Ottawa Senators,5,Philadelphia Flyers,3,,18930,2:38,
2024-01-21,Toronto Maple Leafs,3,Seattle Kraken,1,,17151,2:24,
2024-01-22,Pittsburgh Penguins,2,Arizona Coyotes,5,,4600,2:32,
2024-01-22,Winnipeg Jets,1,Boston Bruins,4,,17850,2:26,
2024-01-22,San Jose Sharks,4,Los Angeles Kings,3,SO,18145,2:35,
2024-01-22,Vegas Golden Knights,5,New Jersey Devils,6,OT,16514,2:33,
2024-01-22,Florida Panthers,4,Nashville Predators,1,,17159,2:30,
2024-01-22,Chicago Blackhawks,0,Vancouver Canucks,2,,18714,2:12,
2024-01-23,Buffalo Sabres,2,Anaheim Ducks,4,,16302,2:27,
2024-01-23,St. Louis Blues,4,Calgary Flames,3,,16813,2:24,
2024-01-23,Dallas Stars,5,Detroit Red Wings,4,,18923,2:27,
2024-01-23,Columbus Blue Jackets,1,Edmonton Oilers,4,,18347,2:22,
2024-01-23,Washington Capitals,3,Minnesota Wild,5,,18437,2:29,
2024-01-23,Ottawa Senators,4,Montreal Canadiens,1,,21105,2:23,
2024-01-23,Vegas Golden Knights,3,New York Islanders,2,,16077,2:24,
2024-01-23,Tampa Bay Lightning,6,Philadelphia Flyers,3,,17937,2:28,
2024-01-23,New York Rangers,2,San Jose Sharks,3,OT,12892,2:29,
2024-01-24,Carolina Hurricanes,3,Boston Bruins,2,,17850,2:28,
2024-01-24,Washington Capitals,2,Colorado Avalanche,6,,18136,2:36,
2024-01-24,Arizona Coyotes,2,Florida Panthers,6,,17020,2:39,
2024-01-24,Buffalo Sabres,5,Los Angeles Kings,3,,18145,2:24,
2024-01-24,Chicago Blackhawks,2,Seattle Kraken,6,,17151,2:29,
2024-01-24,Winnipeg Jets,0,Toronto Maple Leafs,1,OT,18972,2:31,
2024-01-24,St. Louis Blues,4,Vancouver Canucks,3,OT,19003,2:26,
2024-01-25,New Jersey Devils,2,Carolina Hurricanes,3,,18792,2:29,
2024-01-25,Columbus Blue Jackets,5,Calgary Flames,2,,16689,2:29,
2024-01-25,Anaheim Ducks,3,Dallas Stars,4,OT,18532,2:26,
2024-01-25,Philadelphia Flyers,0,Detroit Red Wings,3,,19515,2:29,
